ZT0_1	ZT0_2	ZT0_3	ZT3_1	ZT3_2	ZT3_3	ZT6_1	ZT6_2	ZT6_3	ZT9_1	ZT9_2	ZT9_3	ZT12_1	ZT12_2	ZT12_3	ZT15_1	ZT15_2	ZT15_3	ZT18_1	ZT18_2	ZT18_3	ZT21_1	ZT21_2	ZT21_3
ostta01g00800	5.384664518	5.775382441	5.325739918	6.57912829	5.989332003	5.877320131	8.573026108	8.722491914	8.799693316	8.925014261	9.164971933	9.236777931	8.072291797	7.493137453	7.919527766	6.670848987	6.431233299	6.396709293	6.495838262	6.504235696	6.274990727	6.033962759	6.215577581	5.959953044
ostta01g00810	7.835601	8.00575	8.164941	7.641934	7.934532	7.929181	5.861221	5.469795	5.602834	2.703883	2.382409	2.563783	1.754623	1.456252	1.145879	4.547443	4.366322	4.21292	7.041281	7.337596	7.270262	8.102014	8.478686	8.512602
ostta01g00820	7.75889	8.109658	8.161783	4.586506	4.826483	5.013108	4.380965	4.050226	4.103689	3.706143	3.874947	4.070702	5.035119	5.361522	4.772772	7.463089	7.874102	7.529331	8.107788	8.314274	8.286737	7.821652	8.333889	7.898281
ostta01g00830	7.974557766	7.922346855	7.790934531	8.084495044	8.11735222	7.851799936	7.406644666	7.372033942	7.506618826	6.066944708	6.143272961	6.262824425	5.391555654	5.195649829	5.253818274	5.361779016	4.816667727	4.84256715	6.413348187	6.126972708	6.079270477	7.061863885	7.480739529	7.480089923
ostta01g00840	9.23512195	8.966104492	8.99268689	8.560514158	8.172598022	7.605834741	8.386337003	8.400590225	8.033249611	8.391646598	8.244756278	8.242875547	8.402448856	8.27162685	7.850317786	8.28265363	8.078433985	8.571358044	7.81531346	8.219192042	8.832304667	7.766486599	8.344435841	9.43397904
ostta01g00850	7.658924	7.738647	7.505702	7.885696	7.710166	8.238334	8.432008	8.481946	7.988246	8.070527	8.262062	8.170341	7.976504	7.659886	7.750816	8.48783	7.666728	7.723335	7.902562	7.488374	7.486875	7.160213	7.563845	7.49531
ostta01g00860	7.579629	8.148981	8.04672	5.36156	7.377506	7.251684	4.211034	3.926859	3.876969	4.115708	3.948636	3.819232	6.264121	6.320906	6.086809	7.568337	7.527104	7.556742	8.02474	8.186381	8.128904	8.173498	8.185535	8.257265
ostta01g00880	5.0758	4.763574	4.375616	5.784998	5.502632	5.376941	7.29486	7.002211	7.009699	7.508787	7.364547	7.222874	8.234653	8.377628	8.234232	8.530879	8.501465	8.526417	8.298553	8.231155	8.394418	7.429528	6.60496	6.733126
ostta01g00890	7.386838504	7.290412523	7.24745464	7.008728229	6.899490579	7.062155614	5.14138078	4.690876866	4.421300604	6.785300809	4.703332924	4.90143019	7.240667889	7.290779543	7.521689384	8.353741553	7.65381232	7.422352391	8.261748485	6.986727868	6.973948064	8.435541859	7.210302691	6.5006356305
ostta01g00930	7.368661	7.310539	7.670235	7.926048	7.872006	7.850454	7.458591	7.098305	7.603687	7.407761	6.86988	7.314436	7.375616	7.309059	7.176313	7.625296	7.486673	7.47138	7.785384	7.39722	7.675594	7.927234	7.631655	7.755732
ostta01g00940	5.885368928	5.274371265	5.523925742	7.679721063	8.106903676	8.147197206	8.258501126	8.351754337	8.1345820555	8.523769913	8.37866904	8.263007578	8.313363054	7.984493566	7.982711129	7.75318756	6.8182499	6.851343413	6.605359638	5.499902324	5.422549064	5.798884041	5.197422011	5.253617095
ostta01g00950	7.308138	7.875355	7.591747	5.036321	6.490243	6.369069	4.659555	4.194682	3.987365	5.278786	5.082366	4.987079	6.520999	6.280371	6.127215	7.714159	7.590931	7.572894	7.843033	7.794343	7.745653	7.550225	7.94648	8.101129
ostta01g00970	8.098525	7.51994	7.607173	8.558183	8.222082	8.202499	8.599369	8.661257	8.561663	8.473637	8.637894	8.485259	8.402969	8.50893	8.443398	7.935577	7.793349	7.793923	7.035778	6.872067	6.654909	7.0371	6.142518	5.547008
ostta01g00980	7.416064	6.792904	6.661775	8.836554	8.234129	8.004799	9.35066	8.960337	9.229752	8.56853	8.339925	8.287267	7.838177	7.876038	7.496642	7.437624	7.034554	6.842671	7.057666	6.52057	5.921501	6.759184	6.620482	6.506832
ostta01g00990	7.311133	7.461546	6.857551	7.319542	7.634757	7.729684	7.557738	7.842369	7.682914	7.578576	7.714812	7.733684	7.748119	7.814593	8.165146	7.733439	7.622334	7.720949	7.438137	7.884774	7.184345	7.858396	7.756894	8.116607
ostta01g01000	9.595034	9.350587	9.529346	9.111224	8.841712	8.454271	7.762181	7.494874	7.889881	7.448659	6.728437	7.285523	7.08098	6.626426	5.880665	6.755526	6.882206	6.645066	7.313751	6.798098	6.326783	8.199364	7.347296	7.35496
ostta01g01020	6.85806	7.288202	7.337594	4.829182	6.052575	5.736574	3.873868	3.00532	3.034735	4.47635	4.260221	4.101103	7.063299	7.235146	7.067642	8.120754	8.394225	8.341166	8.238312	8.462231	8.49917	7.831492	8.254407	8.006226
ostta01g01030	5.370968	5.786748	5.785016	7.689889	7.243844	7.09859	8.099919	8.485572	8.605102	8.024589	8.494602	8.498059	7.849885	7.878483	7.863147	7.68443	7.744897	7.699852	7.435648	7.331359	7.468328	6.338879	6.209295	6.21758
ostta01g01040	6.677748	6.00991	5.654488	8.032766	7.758303	7.481452	8.171915	8.291526	8.242969	8.125903	8.185781	7.928333	8.396051	8.589482	8.988175	7.178762	7.384734	7.344133	6.904203	6.894178	6.972294	7.22093	6.686297	6.673036
ostta01g01050	7.244955661	7.136284672	7.119643486	7.676756848	7.204280385	7.392686146	8.332811023	8.617857285	8.63032883	8.415734184	8.686218077	8.809323543	7.199580511	6.374125651	6.776371181	6.226160937	6.255044774	6.246116741	6.303089893	6.47639582	6.410650645	6.434606742	6.102327126	6.128707245
ostta01g01060	7.902564	7.705424	7.738374	7.987319	7.881917	7.819379	7.843679	8.326603	8.231562	8.14209	8.294245	8.291771	7.808682	8.075689	8.170583	7.08717	7.268868	7.223014	7.149344	6.905948	6.877025	7.246828	6.850682	6.670936
ostta01g01070	4.373796048	4.772534041	4.092199957	7.520516833	6.883206	6.942868341	8.263586575	8.475638889	8.54684054	8.633251822	8.771383903	8.972769079	7.741332608	7.639571917	7.938305723	6.573267736	6.519445206	6.421673367	5.867988981	5.965287039	5.97405118	5.045342439	5.334138375	5.361276357
ostta01g01080	7.635281	7.032738	7.244784	7.852196	7.500986	7.76099	7.717284	7.667432	7.780568	7.718147	7.591705	7.803847	7.42551	7.688224	7.879244	7.497816	7.169183	7.240169	7.061471	6.770604	6.951681	6.80282	6.559575	6.457794
ostta01g01085	7.746012	7.427773	7.372633	7.808463	7.482891	7.479494	7.787101	7.675297	7.673181	7.624844	7.639046	7.619479	7.140458	7.277185	7.585397	7.112851	6.834774	6.834058	6.898414	6.296475	6.507107	6.763893	6.101618	6.177037
ostta01g01090	8.681939574	9.033211018	9.649447517	7.922347485	7.622480005	7.360575032	8.05325268	8.149976612	8.008518382	8.061484887	8.29769908	7.724605755	7.965695632	7.681964914	8.218464664	7.510968794	7.680957671	7.418389994	7.534814033	7.684405232	7.287564881	7.551137796	7.558745507	7.861586401
ostta01g01100	7.24664054	5.649445693	5.497494838	7.417481261	7.175594473	7.172976683	7.815760141	7.914453858	7.849241169	8.351971948	8.228521816	8.017942199	8.212653516	8.407224613	8.538270037	7.753336831	7.614251128	7.556633979	7.168750219	6.172763165	6.306127876	6.312457618	5.415055008	5.325380893
