zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta01g01090	15.4014758574026	15.4014758574026	15.4014758574026	15.2913626194706	16.0580657685923	15.6747141940315	17.1976432012018	16.049036116814	16.6233396590079	15.9245148987516	15.9577272542116	15.9411210764816	15.945250357406	15.945250357406	15.945250357406	16.3404990664341	17.2795222754655	15.4014758574026
ostta01g01140	17.6804327664289	18.1661339102102	17.9232833383195	17.26316365992	18.0734408435734	17.5012892075424	16.8657989853134	17.8629552473982	17.3643771163558	15.5570266543989	18.018851686991	17.5106476064113	17.9579926336718	17.7724156378989	17.8652041357853	17.6695191228165	17.4715460240483	17.5705325734324
ostta01g01210	18.9654569352779	19.5352204381577	18.1798192798337	19.1679643453129	19.470597188291	18.1716455219384	18.971748758339	18.8399071973658	18.1083530144997	19.3315648991183	19.3203393433968	18.2018095837163	18.8275669377688	18.8104416490041	18.2113730128373	19.2082072282192	19.2349230315586	18.1798192798337
ostta01g01220	18.8020587231015	18.9522363047233	18.5641298091467	18.6708606837197	18.8553532912337	19.275226210333	17.615866617795	18.6302565734513	18.6580105702482	15.5182813133233	17.3178378869296	18.2903131418559	17.911080745492	18.9982102495686	18.1698418074044	18.606532505122	18.6161735028072	18.5641298091467
ostta01g01230	18.0888980990487	17.0912700311954	18.0493194997484	17.7953336551851	17.6632228484435	18.6040043205548	18.2346655997689	18.280524496605	18.5298703889321	15.2939906586903	18.285411599313	18.0199958722605	17.9080631977425	18.7283942649916	18.4762804590282	18.3557711440046	17.4814556359789	18.0493194997484
ostta01g01270	14.5272613261727	15.7229374956132	14.6676347190644	14.3154847551935	15.2616210563301	17.479853358711	17.4669312896843	17.4669312896843	17.4669312896843	15.647968575242	17.2938085486878	17.3280586819748	15.554850254493	15.554850254493	15.554850254493	16.4280873751718	18.1885400312792	14.6676347190644
ostta01g01290	18.0726210054617	18.4225264244049	17.0989782793304	17.9729750297618	17.9729750297618	17.9729750297618	18.5790831878319	18.3417896409005	17.7536868095263	17.2687897126604	17.2687897126604	17.2687897126604	18.0278473203569	18.2058865851552	18.1168669527561	17.6750849961729	18.0364469363802	17.0989782793304
ostta01g01320	14.4801581493147	18.3037766156337	16.3190696886393	17.0560180317563	16.9004409237209	18.8129578127931	19.0934020713624	16.1398566599952	18.5902187633728	16.5352289335276	18.963911239139	18.3735357860121	18.1561969778335	18.7187162455743	17.8936067303629	18.2739218364037	18.5273911665144	16.3190696886393
ostta01g01350	18.1695424472347	18.6710405924248	17.8701408360435	17.5292688916866	18.5626651287773	17.8762423027041	18.1456505331205	18.3129546489525	18.2293025910365	18.276326487293	18.1277273171972	16.9816001153007	17.6263252321848	16.9467615294556	16.2671978267263	18.2867543640805	18.7033678921175	17.8701408360435
ostta01g01410	16.3336472925609	16.7336058346765	16.5336265636187	16.43765835469	16.8401035008856	16.6388809277878	16.9163077212193	16.6109488210494	15.7415917683035	17.4975584500596	16.1429868234016	16.8202726367306	16.8573186844826	16.8995141564515	16.8784164204671	16.3641480269628	16.7168702878193	16.5405091573911
ostta01g01420	16.9442700960154	15.472521127966	17.1378528508496	16.9854837165162	16.3965786687785	17.8374905594223	16.9644431883246	16.8481037041055	17.7598819106173	16.8686557317622	16.8686557317622	16.8686557317622	16.9755133752653	16.8263733238556	16.805734193848	16.9896215784666	16.6287946067992	17.1378528508496
ostta01g01450	16.425139322423	16.5706832809071	19.2690728582841	16.240284742348	15.4341475741825	19.0307623654535	16.5500012375908	15.3771841619022	18.9063392411761	16.9534460763494	16.9534460763494	16.9534460763494	18.0309127011464	16.4213192097547	16.4349199065259	16.6463855566862	17.2046971815039	19.2690728582841
ostta01g01460	19.1857249345347	18.5634099476343	19.2187941100601	18.9233871865365	18.6775732287105	19.6190002991654	17.3704981386392	15.8842578408709	19.3244004314941	19.6273556069487	18.3141686137971	19.2147250366008	18.0143728649108	18.0488281325391	19.2327305047949	19.0248111096958	18.2469808673689	19.2187941100601
ostta01g01480	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	16.0547935498921	16.2749712642565	16.1648824070743	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969
ostta01g01500	24.6370804482304	24.2686627657058	24.8905114903864	24.6396026742414	24.2357285027808	24.618184665068	24.5468292170037	24.161776598201	24.6840960017546	24.0504903751805	24.6059761752721	24.5465121705973	24.6630404962307	24.1547833337498	24.7963594094577	24.6276438357476	24.3155921948507	24.8905114903864
ostta01g01510	22.0889849030383	22.3064975866966	22.1006579252161	22.3621966351058	22.4884791483234	21.8740097330341	22.2841651028186	22.0248257530086	21.9326375064297	22.4470596752225	22.3737927158061	22.1314427374093	22.3335297307734	21.9642867118346	21.9513540178352	21.9552322603937	22.1607461397254	22.1006579252161
ostta01g01530	16.6628126670264	15.8356338506334	16.1003599615225	17.4267367246243	17.6643096986091	15.9311557214847	16.7623340466489	14.975341634172	15.9514230695133	16.8316903575358	15.2444231154405	15.715863293211	17.1193997711783	16.4648435729148	15.8102873746513	15.1157048784929	14.1310497954632	16.1003599615225
ostta01g01540	14.6321783239613	14.0521578218049	15.8759971282461	13.8647570916326	13.818349837757	15.9622425123631	10.9286453824623	13.7771665966287	16.0600065896104	14.3119443528053	14.3119443528053	14.3119443528053	16.2613288249013	15.6588126406854	15.6650730484033	15.1991322294207	13.286067681879	15.8759971282461
ostta01g01550	20.8200069535775	21.151587828494	20.4513858109341	20.7636539118629	20.7027039889714	20.5178312632564	20.5299539147256	20.4726564874964	19.9447232208313	20.6305642400615	20.5841879671927	20.0429757611802	20.4531729375342	20.2894435840853	20.0562173692031	20.5496220005025	20.5049145018817	20.4513858109341
ostta01g01560	23.2900368222019	23.4637828114832	22.9867366003402	23.2268694301951	23.4651051758427	22.834121438071	23.4224717337613	23.2789269779704	23.2793555941748	23.8883999826192	23.2507656716281	23.0767053759173	23.5859151508956	23.1535741093551	23.0312649030333	23.374750186569	23.4662516596423	22.9867366003402
ostta01g01590	19.2227746683692	18.8305596239842	18.2898207093593	18.242976501351	18.3919970908091	19.3144260866568	18.7902273115555	18.9911125622621	19.4826537779808	16.8985970859606	18.3514358877334	19.2467233275646	18.1880163266104	18.656842175075	19.054710292155	18.9535681941858	18.2601235506999	18.2898207093593
ostta01g01600	19.9857518374839	20.2146733535534	19.7879069078859	20.0004523637288	19.9904437378306	19.9799150585207	20.0007327579734	20.0141956114365	20.1050407661129	20.4083158711281	20.2918666321866	19.9123112913493	20.0936468264715	20.0712107140536	19.7605972580973	20.0128033211777	20.1802542496001	19.7879069078859
ostta01g01640	17.2717082421511	16.2884006278928	16.780054435022	13.9889523285536	13.9889523285536	13.9889523285536	16.5890380912029	15.9814167417936	16.2852274164983	16.4328329820296	16.4328329820296	16.4328329820296	16.5804385475608	16.5804385475608	16.5804385475608	16.6802464912914	16.6802464912914	16.6802464912914
ostta01g01690	17.5582313933738	16.9943200584659	17.9102376788288	16.6361193097887	17.2487181314198	17.8748913856291	17.6546932334498	17.3027746767808	16.1074629728655	17.3528807734152	18.00658081907	16.5789673803474	17.8662522124604	16.7292535723664	17.9372244900442	16.5780215308901	17.8554852316983	17.9102376788288
ostta01g01720	21.5569911325194	21.7245734653623	21.2864951614458	21.5158473703737	21.5108744233737	21.2755017911711	21.3284605266012	21.3786100329796	21.2770918166809	21.7543487568616	21.6572244571418	21.2671196707709	21.8478033248248	21.4435470269926	21.2176040306201	21.4524530353012	21.600314328013	21.2864951614458
ostta01g01750	17.064912009806	17.4715232895621	15.4271999634832	14.796524048754	14.5519533988737	17.209162969135	14.8293507104587	14.1672454753101	15.32738283608	17.2625430189824	16.3299506120963	14.7254498386492	16.8571090037757	15.1516753571174	16.9694030928813	15.2298755565527	16.8251554287908	15.4271999634832
ostta01g01780	14.9381150291856	14.9381150291856	14.9381150291856	14.7695229784155	14.7695229784155	14.7695229784155	14.8909044915601	14.8909044915601	14.8909044915601	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	14.9381150291856	14.9381150291856	14.9381150291856
ostta01g01790	15.9428008289481	16.5174654472787	16.0716314060043	15.7749618632249	16.5261772250583	16.6196428023462	16.8339405029415	16.4595688944445	16.6306720990558	17.1491855538373	16.2540385396442	15.4404568692648	16.5853072267517	15.7573499882183	16.171328607485	16.2558316723347	16.884277822923	16.0716314060043
ostta01g01820	16.423796895323	17.262301002317	16.84304894882	16.5276068432576	17.0515555915652	16.7895812174114	16.4626156178861	17.2987682502655	17.6495592216437	17.0932945016431	17.0932945016431	17.0932945016431	16.9852912239701	17.1139247227386	17.0496079733543	16.8471847669803	16.6619352473412	16.7545600071607
ostta01g01830	22.2698709995206	22.5225811560822	21.8801834087322	22.1580710754658	22.3296436762411	21.5575321971762	22.1474293854702	22.2408199963791	21.5115213686396	21.7575661726928	22.4110890876191	21.6408030324241	22.2337019154472	21.8768928500841	21.6244335842461	22.0466063376592	22.2646045418252	21.8801834087322
ostta01g01880	18.4229732269317	18.2695325152541	19.0590349578682	18.2552999011084	18.4445023124083	18.3242210866913	18.3078626153713	18.3532496642255	19.0480548659883	18.9260614622538	17.0968795226922	18.4922976730306	18.7333250681955	17.8610384025261	18.6765619250002	18.4005701636484	19.1230034076053	19.0590349578682
ostta01g01960	19.204921805257	19.087145436672	18.6889933277391	19.0635532705791	18.4369175320599	17.4241697929464	18.3477196365778	18.3477196365778	18.3477196365778	19.65150505298	18.7537699400047	17.8252216201703	19.1287879778641	18.5728853066686	18.2918522787862	18.7351176243234	19.1055352694921	18.6889933277391
ostta01g01980	19.9301142321496	19.6299165351953	20.2857093266515	18.1554602806068	18.4667925340134	20.7132355286705	19.8854486857327	20.2308384852754	20.4622093935537	19.0160511887741	19.7979100065972	20.5904641933478	19.2218815601935	20.1904541163417	20.5380180854446	20.1745482021135	18.9873119437893	20.2857093266515
ostta01g02000	16.5629659866899	15.0380510679293	16.5918725670357	16.6702583188357	13.888912766442	18.5291881308049	15.4317816999025	15.2362646881586	16.0853971329134	15.6594462533303	14.1727514253146	14.9160988393225	16.9301763009086	14.6746231548483	14.9792577383314	16.585563079877	16.2026518512382	16.5918725670357
ostta01g02010	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	13.6807210332351	13.6807210332351	13.6807210332351	8.71722916042969	8.71722916042969	8.71722916042969
ostta01g02080	17.9534778478177	18.3907368506764	18.7607192103364	19.3513707806973	19.5607710929874	20.3634912815388	18.1383759898597	18.1722947426966	19.369044036112	18.3792910057529	19.1301682704931	18.875042934234	17.7339773147189	18.4932553058586	18.7913780698383	17.1531910717596	19.1379816539041	18.7607192103364
ostta01g02090	15.4053545971128	15.4053545971128	15.4053545971128	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	14.9909196781942	14.9909196781942	14.9909196781942	14.7429454364283	15.0741500167706	15.4053545971128
ostta01g02120	16.0083139119039	16.418100207244	15.4546643258185	15.9275363153521	15.0694833345329	15.3183810070439	15.5490892402803	15.2366040647533	15.4431957644492	15.3665046787031	15.4678415450401	14.3275300453145	15.0581466576338	16.2877911045448	15.1737424896896	15.9873874697823	16.0556822748169	15.4546643258185
ostta01g02170	15.3713270106805	14.3945097227315	16.7632168229629	14.0880051672822	13.866143691962	17.6788746947647	15.3388944622604	15.1879173731394	17.0154253699026	17.3479539870885	17.3479539870885	17.3479539870885	16.1465906007136	15.6657116929412	17.4058046886625	16.0372369604388	14.0169167574408	16.7632168229629
ostta01g02200	17.99142397544	18.2365638127029	18.9038297959502	19.0680813618454	19.0116519842485	18.6369857589426	17.8956914113775	17.8676377023814	18.6043910403669	19.4783054575048	18.8411145757497	18.7288603154972	18.8729110616145	18.6888477934975	18.7727054406789	19.0188898504782	18.9332848711667	18.9038297959502
ostta01g02210	23.9026750457806	24.1520442246935	23.8818123813908	23.9597280589199	23.748380852853	23.7471579869012	23.8278247740647	23.5730514684243	23.4159045506952	24.1275881568333	24.1819229617984	23.5982326439088	24.0952810123243	23.6214297387939	23.684148604681	24.138456916934	23.7816637344507	23.8818123813908
